epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,1922.41,1.21038,1.3903,1.39036,0.6762,0.72655,0.73762,0.41805,1.41289,1.31186,1.57211,0.0009705,0.0003235,0.0009705,0.0003235,0.0009705,0.0003235,0.0009705,0.0003235
84,1945.1,1.21044,1.38208,1.38726,0.69273,0.68172,0.73632,0.4177,1.4321,1.30802,1.58595,0.00094575,0.00031525,0.00094575,0.00031525,0.00094575,0.00031525,0.00094575,0.00031525
85,1967.77,1.21926,1.41723,1.39259,0.67509,0.70099,0.7377,0.4152,1.43941,1.3082,1.588,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
86,1990.45,1.20052,1.39485,1.39483,0.69156,0.70544,0.74009,0.41772,1.43064,1.31246,1.57903,0.00089625,0.00029875,0.00089625,0.00029875,0.00089625,0.00029875,0.00089625,0.00029875
87,2013,1.18203,1.38902,1.3766,0.67238,0.71903,0.74361,0.42154,1.43136,1.29934,1.581,0.0008715,0.0002905,0.0008715,0.0002905,0.0008715,0.0002905,0.0008715,0.0002905
88,2035.23,1.2149,1.40078,1.39128,0.71894,0.67581,0.73425,0.41178,1.43936,1.31088,1.58145,0.00084675,0.00028225,0.00084675,0.00028225,0.00084675,0.00028225,0.00084675,0.00028225
89,2059.04,1.19548,1.37833,1.38056,0.6689,0.70171,0.74108,0.41737,1.43108,1.30197,1.58049,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274
90,2083.56,1.20192,1.37657,1.3853,0.63043,0.73954,0.73262,0.41445,1.42983,1.29945,1.57865,0.00079725,0.00026575,0.00079725,0.00026575,0.00079725,0.00026575,0.00079725,0.00026575
91,2106.84,1.20184,1.37397,1.39032,0.64621,0.73766,0.73061,0.41666,1.44013,1.30449,1.57603,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
92,2130.33,1.19986,1.36974,1.3727,0.66581,0.7023,0.74333,0.41578,1.44828,1.30553,1.57952,0.00074775,0.00024925,0.00074775,0.00024925,0.00074775,0.00024925,0.00074775,0.00024925
